stemword,times,origin words
membrane-embed,1,membrane-embedded
headquart,1,headquarters
multipot,1,multipotency
self-renew,1,self-renewal
cell-lik,1,cell-like
activation-induc,1,activation-induced
ureter,1,ureteral
hydronephrosi,1,hydronephrosis
rkdna-graphen,1,rkdna-graphene
uproot,1,uprooted
intertwin,1,intertwined
unigram,1,unigrams
tweepi,1,tweepy
thyroidectomi,1,thyroidectomies
screening-rel,1,screening-related
non-repres,1,non-representative
pcr-measur,1,pcr-measured
characterization/classif,1,characterization/classification
disequilibr,1,disequilibrated
pre-examin,1,pre-examined
dogma,1,dogmas
antibody-neutr,1,antibody-neutralizing
non-fucosyl,1,non-fucosylated
cross-depart,1,cross-department
cost/effect,1,cost/effectiveness
beneficial/harm,1,beneficial/harmful
ethylenediaminetetraacet,1,ethylenediaminetetraacetic
feedback-loop,1,feedback-loops
ingenu,1,ingenuity
factor.conclus,1,factor.conclusion
myocarditis-rel,1,myocarditis-related
real-rim,1,real-rime
model-fre,1,model-free
milan/lombardi,1,milan/lombardy
noncommunic,1,noncommunicable
mechanical-ventilatori,1,mechanical-ventilatory
outstrip,1,outstrips
beckman-coult,1,beckman-coulter
pain/swel,1,pain/swelling
nodular,1,nodularity
shadowing/consolid,1,shadowing/consolidation
air-spac,1,air-space
rear-servic,1,rear-service
nonseg,1,nonsegmented
ace2-bas,1,ace2-based
oncology-rel,1,oncology-related
cytopatholog,1,cytopathology
currrent,1,currrently
laps,1,lapses
storm-elev,1,storm-elevated
subtot,1,subtotal
commod,1,commodities
pamukkal,1,pamukkale
cat-specif,1,cat-specific
feline-deriv,1,feline-derived
eosinophilia-associ,1,eosinophilia-associated
eosinophil-target,1,eosinophil-targeted
easy-to-fabr,1,easy-to-fabricate
tissue-resid,1,tissue-resident
ludwig-maximilians-univers,1,ludwig-maximilians-university
periodontolog,1,periodontology
easy-to-integr,1,easy-to-integrate
keywork,1,keyworkers
condition.conclus,1,condition.conclusion
diagnose.cas,1,diagnose.case
comoro,1,comoros
d796i,1,d796y
h655i,1,h655y
iq-tre,1,iq-tree
nextclad,1,nextclade
patient-gener,1,patient-generated
treatment/manag,1,treatment/management
anti‑vir,1,anti‑viral
syndrome-induc,1,syndrome-induced
vasodil,1,vasodilation
damage/failur,1,damage/failure
edsab-hom,1,edsab-home
virus-irrelev,1,virus-irrelevant
vaccine‑induc,1,vaccine‑induced
rt-qpcr,1,rt-qpcrs
effort-worthi,1,effort-worthy
anti-infer,1,anti-inference
frontrun,1,frontrunning
protein-rel,1,protein-related
180dpo,1,180dpos
14dpo,1,14dpos
8-14dpo,1,8-14dpos
prodigi,1,prodigious
semblanc,1,semblance
pbe,1,pbes
non-sars-cov-2-specif,1,non-sars-cov-2-specific
embedding-bas,1,embedding-based
low-sensit,1,low-sensitivity
pars,1,parsing
subsist,1,subsistence
mru,1,mrus
diffe-renti,1,diffe-rentiation
investigatori,1,investigatory
lancin,1,lancinating
affinity-enhanc,1,affinity-enhancing
non-suscept,1,non-susceptible
itp-enhanc,1,itp-enhanced
isotachophoresi,1,isotachophoresis
cofocus,1,cofocusing
fluorophore-quench,1,fluorophore-quencher
census-weight,1,census-weighted
isomeras,1,isomerase
becloud,1,beclouded
hyper-product,1,hyper-production
academic-publ,1,academic-public
lipid-low,1,lipid-lowering
anti-arrhythm,1,anti-arrhythmic
statin-induc,1,statin-induced
suspicion.•telemedicin,1,suspicion.•telemedicine
india.•simultan,1,india.•simultaneous
spell,1,spelled
asian/filipino/pacif,1,asian/filipino/pacific
non-interperson,1,non-interpersonal
eg,1,egs
'experi,1,'experiences
hermeneut,1,hermeneutic
caucasian,1,caucasians
rbd-nanoparticl,1,rbd-nanoparticles
system.•detect,1,system.•detection
effluent,1,effluents
non-centr,1,non-centralized
drainag,1,drainage
behav,1,behaving
region.•differenti,1,region.•differentiation
easy-oper,1,easy-operation
canal,1,canals
procedures.th,1,procedures.the
budgetari,1,budgetary
eclips,1,eclipse
lengthen,1,lengthening
state-to-st,1,state-to-state
'nlmix,1,'nlmixed
otolaryngologist,1,otolaryngologists
self-initi,1,self-initiated
lipid-bilay,1,lipid-bilayer
transmission-prev,1,transmission-preventing
airspac,1,airspace
hypertension/congest,1,hypertension/congestion
cardiomegali,1,cardiomegaly
treatment.ther,1,treatment.there
chemo-resist,1,chemo-resistance
regrett,1,regrettable
jeopardis,1,jeopardise
hpsc-deriv,1,hpsc-derived
symptoms/sign,1,symptoms/signs
laboratory/clin,1,laboratory/clinical
anxiety/depress,1,anxiety/depression
sa,1,sas
anxiety-depress,1,anxiety-depression
'live,1,'living
videoconferenc,1,videoconferencing
ecosystem,1,ecosystems
negative/equivoc,1,negative/equivocal
•detect,1,•detection
filer,1,filers
sampler,1,samplers
sample-to-answer-tim,1,sample-to-answer-time
pcr.•adapt,1,pcr.•adaption
vaue,1,vaues
diagnot,1,diagnotic
reaction–confirm,1,reaction–confirmed
catabol,1,catabolism
host/environ,1,host/environment
enzymopathi,1,enzymopathy
membranaceu,1,membranaceus
astragalu,1,astragalus
agastach,1,agastache
20c/655i,1,20c/655y
expert-verifi,1,expert-verified
glycosyltransferas,1,glycosyltransferases
near-infrar,1,near-infrared
resonance-bas,1,resonance-based
photonics-bas,1,photonics-based
crispr/cas-medi,1,crispr/cas-mediated
/ca,1,/cas
biotechnology-bas,1,biotechnology-based
supermarket,1,supermarkets
glycyrrhiza,1,glycyrrhizae
ncap-specif,1,ncap-specific
srggsqassrsssrsrnssrnstpgssrgt,1,srggsqassrsssrsrnssrnstpgssrgts
our,1,ours
impoverish,1,impoverished
manguinho,1,manguinhos
dosimet,1,dosimeter
non-por,1,non-porous
activation-rel,1,activation-related
fecal-respiratori,1,fecal-respiratory
self-pow,1,self-powered
intra-countri,1,intra-country
defuzzif,1,defuzzification
sylvestr,1,sylvestre
19b/501i,1,19b/501y
meningo-enceph,1,meningo-encephalitis
unj-jena.d,1,unj-jena.de
sars-cov-2-cysteine-lik,1,sars-cov-2-cysteine-like
nasopharyngeal-posit,1,nasopharyngeal-positive
ethnomedicin,1,ethnomedicinal
past-infect,1,past-infections
health-work,1,health-workers
pompid,1,pompidou
19-relat,1,19-related
pro-coagul,1,pro-coagulative
sunshin,1,sunshine
untangl,1,untangle
sublineag,1,sublineage
inflammation/fibrosi,1,inflammation/fibrosis
grandmoth,1,grandmother
saposhnikovia,1,saposhnikoviae
preschool-ag,1,preschool-age
clinical-stag,1,clinical-stage
pti,1,pty
point-of-us,1,point-of-use
forestal,1,forestall
tanshinon,1,tanshinone
jubanin,1,jubanine
hirsutenon,1,hirsutenone
epigallocatechin-gal,1,epigallocatechin-gallate
blancoxanthon,1,blancoxanthone
fifth,1,fifths
divar,1,divaricate
d614g.import,1,d614g.importance
extrac-tion-fre,1,extrac-tion-free
mrca,1,mrcas
iodin,1,iodinated
bathyphas,1,bathyphase
acrophas,1,acrophase
rrx-001-mediat,1,rrx-001-mediated
non-life-threaten,1,non-life-threatening
nonexist,1,nonexistent
'import,1,'imported
urosurgeri,1,urosurgery
pathogen-induc,1,pathogen-induced
atient,1,atients
-ribosyl,1,-ribosylation
diphosph,1,diphosphate
40h,1,40hs
q-onli,1,q-only
reform,1,reforming
conundrum,1,conundrums
arthropathi,1,arthropathy
nongenet,1,nongenetic
gravid,1,gravids
pre-defin,1,pre-define
cases-onli,1,cases-only
l-base,1,l-based
fluorophore-label,1,fluorophore-labeled
infectious/inflammatori,1,infectious/inflammatory
university-provid,1,university-provided
storm-lik,1,storm-like
decision-analyt,1,decision-analytic
non-time-consum,1,non-time-consuming
leap,1,leaps
preliminarili,1,preliminarily
généralisé,1,généralisée
considér,1,considérer
foi,1,fois
montr,1,montre
troisièm,1,troisième
qu´aprè,1,qu´après
emboli,1,embolie
typiqu,1,typiques
repris,1,reprises
moindr,1,moindre
spécifiqu,1,spécifique
naso-pharyngé,1,naso-pharyngés
prélèvement,1,prélèvements
déclaré,1,déclarée
posteriorli,1,posteriorly
cyclodextrin-solubl,1,cyclodextrin-soluble
bival,1,bivalent
proteomexchang,1,proteomexchange
aceton,1,acetone
agents.thi,1,agents.this
sec61-medi,1,sec61-mediated
command,1,commandeer
non-transpl,1,non-transplanted
liver,1,livers
well-ventil,1,well-ventilated
viruses/,1,viruses/s
mammal-infect,1,mammal-infecting
chain-immobil,1,chain-immobilized
blot,1,blotting
induir,1,induire
ride,1,riding
schroding,1,schrodinger
misnom,1,misnomer
antinephr,1,antinephritis
anticonvuls,1,anticonvulsant
oleanan,1,oleanane
door,1,doors
vaccinovigil,1,vaccinovigilance
outclass,1,outclasses
non-malefic,1,non-maleficence
benefic,1,beneficence
necrotis,1,necrotising
whole-cours,1,whole-course
faith,1,faithful
glomerulu,1,glomerulus
testing-phas,1,testing-phase
non-contagi,1,non-contagious
non-b.1.1.7-infect,1,non-b.1.1.7-infected
severe-acute-respiratory-syndrome-rel,1,severe-acute-respiratory-syndrome-related
vaccination.conclus,1,vaccination.conclusions
reports.observ,1,reports.observation
strategy-clin,1,strategy-clinical
exosome-bas,1,exosome-based
kawasaki's-lik,1,kawasaki's-like
pro-thrombot,1,pro-thrombotic
trans-neuron,1,trans-neuronal
'elect,1,'elective
'non-respond,1,'non-responders
tubul,1,tubule
overturn,1,overturned
extortion,1,extortionate
cryptogen,1,cryptogenic
cat-own,1,cat-owners
human-anim,1,human-animal
treatment.thi,1,treatment.this
haploident,1,haploidentical
myeloabl,1,myeloablative
general-purpos,1,general-purpose
period.adult,1,period.adults
characteristics.vaccin,1,characteristics.vaccine
poorly-neutr,1,poorly-neutralizing
highly-neutr,1,highly-neutralizing
microbiota,1,microbiotas
fda-valid,1,fda-validated
atovaquon,1,atovaquone
neurotroph,1,neurotrophic
paucisymptomatic/asymptomat,1,paucisymptomatic/asymptomatic
'in-hous,1,'in-house
cfr.overal,1,cfr.overall
strategies.w,1,strategies.we
cat-deriv,1,cat-derived
immune-induc,1,immune-induced
receptor-inhibit,1,receptor-inhibiting
humanis,1,humanised
manidipin,1,manidipine
ebastin,1,ebastine
bedaquilin,1,bedaquiline
scanographiqu,1,scanographiques
adéquat,1,adéquate
monophylet,1,monophyletic
responder/healthcar,1,responder/healthcare
cross-genom,1,cross-genome
brows,1,browse
manually-cur,1,manually-curated
ab1-lik,1,ab1-like
pre-licensur,1,pre-licensure
allergolog,1,allergology
re-organ,1,re-organization
e-cardiolog,1,e-cardiology
heart/vessel,1,heart/vessels
unlabel,1,unlabelled
drug-,1,drug-s
h49i,1,h49y
bedsheet,1,bedsheets
hace2-express,1,hace2-expressing
nebul,1,nebulization
pancoronaviru,1,pancoronavirus
re-exposur,1,re-exposure
care-rel,1,care-related
previously-valid,1,previously-validated
non-flock,1,non-flocked
oropharynx/nar,1,oropharynx/nares
lepidin,1,lepidine
inhibitor-enzym,1,inhibitor-enzyme
2019-ncovi,1,2019-ncovis
anticontamin,1,anticontamination
collis,1,collision
pandemic-fight,1,pandemic-fighting
multi-target,1,multi-targeting
implor,1,implore
low-fidel,1,low-fidelity
epitranscriptom,1,epitranscriptomic
methylom,1,methylome
-modifi,1,-modified
n6-methyladenosin,1,n6-methyladenosine
anywher,1,anywhere
multi-om,1,multi-omics
labeling-m,1,labeling-ms
purification-m,1,purification-ms
mirag,1,mirage
dihydroorot,1,dihydroorotate
demolit,1,demolition
mutation-introduc,1,mutation-introduced
cross-classifi,1,cross-classified
2019-posit,1,2019-positive
regions/autonom,1,regions/autonomous
vasculotrop,1,vasculotropic
neuro-pathophysiolog,1,neuro-pathophysiology
organism,1,organismal
subcentimet,1,subcentimeter
mantl,1,mantle
guanosin,1,guanosine
co-purif,1,co-purification
full-siz,1,full-size
ace2-adapt,1,ace2-adapted
recomwel,1,recomwell
disease-bas,1,disease-based
death-ori,1,death-oriented
factor-benevol,1,factor-benevolent
bio-patholog,1,bio-pathology
chemical-literatur,1,chemical-literature
virus-trigg,1,virus-triggered
system-play,1,system-plays
immunity-a,1,immunity-as
anticipatori,1,anticipatory
20bp,1,20bps
catalogu,1,catalogued
evidencebas,1,evidencebased
soil,1,soils
//bit.ly/3n4vax,1,//bit.ly/3n4vaxe
homepag,1,homepage
springermateri,1,springermaterials
thiem,1,thieme
highly-sensit,1,highly-sensitive
pacman,1,pacmans
activity-bas,1,activity-based
coagulation-lik,1,coagulation-like
respiratory-direct,1,respiratory-directed
humer,1,humeral
roadmap,1,roadmaps
clade-defin,1,clade-defining
deisgyl,1,deisgylating
deubiquitin,1,deubiquitinating
neuro-inflammatori,1,neuro-inflammatory
treatment-induc,1,treatment-induced
immune-inflammatori,1,immune-inflammatory
neuro-inflamm,1,neuro-inflammation
keyston,1,keystone
anal/rect,1,anal/rectal
quadrupl,1,quadruplicate
trioxid,1,trioxide
kodecyt,1,kodecytes
safety/secur,1,safety/security
technology-modifi,1,technology-modified
2-percentag,1,2-percentage
foreign-sourc,1,foreign-sourced
geocod,1,geocoded
lyorient,1,lyoriented
ofsoci,1,ofsocial
weus,1,weuse
coadministr,1,coadministration
photocatalyst-co,1,photocatalyst-coated
light-respons,1,light-responsive
delaying/stop,1,delaying/stopping
metalloproteom,1,metalloproteome
'veri,1,'very
experianc,1,experianced
cannul,1,cannulated
credenti,1,credentialing
nursing/assist,1,nursing/assisted
immunohistolog,1,immunohistologic
metal-organ,1,metal-organic
inflammation/mut,1,inflammation/mutations
overpow,1,overpower
submaxillari,1,submaxillaries
pseudomembran,1,pseudomembranes
deleg,1,delegation
triterpen,1,triterpene
delug,1,deluge
covid-pati,1,covid-patient
vivo-reconstitut,1,vivo-reconstituted
sars-cov-2-igg-neg,1,sars-cov-2-igg-negative
sars-cov-2-igg-posit,1,sars-cov-2-igg-positive
antoin,1,antoine
vsv-egfp-sars-cov-2-,1,vsv-egfp-sars-cov-2-s
immune-select,1,immune-selected
bioisoster,1,bioisosterism
tizoxanid,1,tizoxanide
collection-rel,1,collection-related
bromoindol,1,bromoindole
beta-mannosid,1,beta-mannoside
emindol,1,emindole
notoamid,1,notoamide
chromen,1,chromene
assent,1,assented
actinomycet,1,actinomycetes
information-depend,1,information-dependent
exocytosis/endocytosi,1,exocytosis/endocytosis
carbon-contain,1,carbon-containing
water-suspend,1,water-suspended
lesser-explor,1,lesser-explored
fume,1,fuming
caseincid,1,caseincidence
geoloc,1,geolocation
algel-onli,1,algel-only
positive-neg,1,positive-negative
tourism/hospit,1,tourism/hospitality
hostvir,1,hostviral
microdevic,1,microdevice
graef,1,graefe
solvent,1,solvents
quarantine/isol,1,quarantine/isolation
debacl,1,debacle
hinweis,1,hinweise
medikament,1,medikamente
einig,1,einige
konnt,1,konnte
paris-publ,1,paris-public
self-direct,1,self-directed
pedagogi,1,pedagogies
active-learn,1,active-learning
student-cent,1,student-centered
persever,1,perseverance
emergen-c,1,emergen-ce
community-us,1,community-use
z-score,1,z-scores
cleanout,1,cleanouts
manhol,1,manholes
hypoxia-rel,1,hypoxia-related
cytoprotect,1,cytoprotective
hif-1α-induc,1,hif-1α-induced
domain-contain,1,domain-containing
metalloproteinas,1,metalloproteinase
under-explor,1,under-explored
inter-depend,1,inter-dependent
nano-s,1,nano-sized
microchamb,1,microchamber
intermix,1,intermixing
coast,1,coasts
sars-cov-2-wa,1,sars-cov-2-was
dichotomis,1,dichotomising
disease-lik,1,disease-like
incubation-bas,1,incubation-based
adsorption-elut,1,adsorption-elution
well-research,1,well-researched
fecal-deriv,1,fecal-derived
ceil,1,ceiling
three-b,1,three-bed
α-glucosidas,1,α-glucosidases
troponin,1,troponins
pandemi,1,pandemy
immune-regulatori,1,immune-regulatory
anti-oxid,1,anti-oxidation
stereoisom,1,stereoisomer
isoglycyrrhizin,1,isoglycyrrhizinate
auto-immun,1,auto-immunity
after-infect,1,after-infection
high-coverag,1,high-coverage
psychos,1,psychoses
neurobiolog,1,neurobiological
interval-censor,1,interval-censored
turnbul,1,turnbull
microbiome-rel,1,microbiome-related
covid-19-microbiome-immun,1,covid-19-microbiome-immune
microbiome-immun,1,microbiome-immune
bestow,1,bestowed
neatli,1,neatly
mucin-contain,1,mucin-containing
pellet,1,pelleted
pulmonologist,1,pulmonologists
middelar,1,middelares
corornavirida,1,corornaviridae
non-specialist,1,non-specialists
overvalu,1,overvaluing
phenomenon-asymptomat,1,phenomenon-asymptomatic
takeaway,1,takeaways
ws-snp,1,ws-snps
resource-restrain,1,resource-restrained
méditerrané,1,méditerranée
'safeti,1,'safety
airline-intern,1,airline-internal
'fitness-to-fli,1,'fitness-to-fly
safety-rel,1,safety-related
downscal,1,downscaling
host-associ,1,host-associated
cure/vaccin,1,cure/vaccine
gene-gen,1,gene-gene
airflow,1,airflows
shade,1,shades
science-inform,1,science-informed
black-or-whit,1,black-or-white
chees,1,cheese
emmental,1,emmentaler
oversimplifi,1,oversimplifying
sero-revers,1,sero-reversion
journalist,1,journalists
proce,1,proceeds
dimension,1,dimensionality
triazol,1,triazole
minimal-invas,1,minimal-invasive
evolution-bi,1,evolution-by
reappear,1,reappearance
household/commun,1,household/community
severe/fat,1,severe/fatal
closely-monitor,1,closely-monitored
synagogu,1,synagogues
newly-discov,1,newly-discovered
receptor-screen,1,receptor-screening
se-defici,1,se-deficient
se-enrich,1,se-enriched
today-th,1,today-the
behavior-specif,1,behavior-specific
rebound,1,rebounding
hyperton,1,hypertonic
at,1,ats
nasopharyngolaryngoscopi,1,nasopharyngolaryngoscopy
peroxid,1,peroxide
